[ 2016-03-07 08:42:36 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 08:50:48 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 08:52:59 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:10:47 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:19:09 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:19:21 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:19:55 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:20:43 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:21:07 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:21:32 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:22:00 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:22:24 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:22:47 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:23:08 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:23:32 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:23:53 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:24:16 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:24:37 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:24:58 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:25:20 ] INFO sim_data with r2 =  0.9 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:25:49 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:26:13 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:26:37 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:27:00 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:27:24 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:27:47 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:28:10 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:28:35 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:28:57 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:29:22 ] INFO sim_data with r2 =  0.9 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:29:51 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:30:15 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:30:41 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:31:06 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:31:32 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:31:56 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:32:20 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:32:45 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:33:11 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:33:35 ] INFO sim_data with r2 =  0.9 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:39:11 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:39:23 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:39:50 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:40:20 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:40:41 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:41:05 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:41:27 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:41:47 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:42:06 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:42:25 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:42:44 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:43:04 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:43:24 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:43:44 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:44:03 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:44:22 ] INFO sim_data with r2 =  0.9 , n =  1e+06 , p =  1  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:44:42 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:45:03 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:45:23 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:45:43 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:46:04 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:46:24 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:46:45 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:47:06 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:47:27 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:47:47 ] INFO sim_data with r2 =  0.9 , n =  1e+06 , p =  2  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:48:09 ] INFO sim_data with r2 =  0 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:48:31 ] INFO sim_data with r2 =  0.1 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:48:53 ] INFO sim_data with r2 =  0.2 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:49:16 ] INFO sim_data with r2 =  0.3 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:49:38 ] INFO sim_data with r2 =  0.4 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:50:00 ] INFO sim_data with r2 =  0.5 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:50:23 ] INFO sim_data with r2 =  0.6 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:50:45 ] INFO sim_data with r2 =  0.7 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
[ 2016-03-07 09:51:08 ] INFO sim_data with r2 =  0.8 , n =  1e+06 , p =  3  and adjusted.r.square =  FALSE 
